seed_id,hit
1.0,1.0
0.9987715121437191,4.292705241545264
0.9928586259233327,7.212499957168461
0.9828878765765836,9.827108138060112
0.9693459571968219,12.188072667193296
0.9526179038284113,14.335468335427322
0.9330129702967014,16.30102519298464
0.910782687632377,18.110263361894454
0.886133791304772,19.78399125753765
0.8592376782230531,21.339381394024826
0.8302374581466978,22.79075847312015
0.7992532996540405,24.150187031899236
0.7663865437423283,25.42791655848862
0.7317229109005012,26.632723427340125
0.6953350310854631,27.77217695137074
0.6572844605865669,28.852848763169845
0.6176233052943445,29.88047936539465
0.5763955382928572,30.860111866028547
0.5336380774844685,31.79620033328058
0.48938167302716806,32.692698297550805
0.4436516428689856,33.55313159231309
0.396468485061348,34.380658730762775
0.34784839060868933,35.17812127131299
0.29780367411798636,35.94808610118798
0.24634313688625298,36.69288114559549
0.19347237386460847,37.41462567853728
0.13919403338897496,38.11525618459336
0.08350803712383481,38.79654855855438
0.0264117663440544,39.460137226434085
-0.03209978038435679,40.1075316989095
-0.0920338544089816,40.7401309639838
-0.15339984594794487,41.35923606531185
-0.21620919106587166,41.96606113144071
-0.28047529562765305,42.5617430796317
-0.34621347325817453,43.14735021602587
-0.4134408966634453,43.72388985790769
-0.482176560120152,44.29231512863157
-0.5524412527134501,44.853531062833554
-0.6242575411363163,45.40840007160864
-0.6976497611833565,45.95774689647067
-0.7726440174078846,46.50236309839465
-0.8492681907497825,47.04301115326484
-0.9275519531102958,47.58042819886816
-1.007526789284455,48.115329485687084
-1.0892260252210377,48.64841158111574
-1.172684863027314,49.18035533978866
-1.2579404226330269,49.711828686667104
-1.3450317896004123,50.24348924155731
-1.434000069293191,50.77598680222866
-1.524888447637153,51.30996571269395
-1.617742258666425,51.84606713384551
-1.7126090581571702,52.38493123298019
-1.8095387046932103,52.927199324541675
-1.9085834475063876,53.473515942406266
-2.0097980217140474,54.02453089503206
-2.1132397514782895,54.580901291884516
-2.218968660819897,55.14329356682583
-2.3270475930443695,55.712385505838824
-2.4375423388481465,56.28886827551253
-2.5505217741016963,56.873448491415616
-2.6660580071090294,57.46685030914773
-2.784226536470044,58.06981756817311
-2.905106420056015,58.68311597684624
-3.028780455730228,59.30753536644124
-3.1553353745182875,59.943892017695134
-3.2848620473089625,60.59303105363176
-3.41745570543452,61.25582892927844
-3.5532161767612394,61.933196012698204
-3.6922481377243344,62.626079262723124
-3.834661382610932,63.33546500916418
-3.9805711115998577,64.06238185978566
-4.130098238077949,64.80790371416538
-4.283369717256889,65.57315289633311
-4.44051889717592,66.35930341606615
-4.601685893799839,67.16758435194754
-4.767017991683261,67.99928335466439
-4.936670072067088,68.855750270199
-5.110805070118104,69.73840086880114
-5.2895944631301575,70.64872068139289
-5.473218792196121,71.58826890678051
-5.661868218637892,72.55868238002631
-5.855743118174431,73.56167959780919
-6.055054714315943,74.5990646999108
-6.260025754256475,75.67273142740999
-6.470891228251958,76.78466696201224
-6.6878991359330655,77.93695558858957
-6.911311301273258,79.13178209598834
-7.141404238245272,80.37143478919751
-7.37847006954712,81.65830802663686
-7.622817499636312,82.99490409245419
-7.8747728439734885,84.38383426476008
-8.134681114813105,85.82781882776976
-8.402907164349699,87.32968582910223
-8.679836884442892,88.8923682680728
