seed_id,x0,vx0,vy0
1,-0.95,-0.028421052631578948,0.015624423574211633
2,-0.95,-0.009473684210526316,0.03101819066600412
3,-0.95,0.009473684210526316,0.03101819066600412
4,-0.95,0.028421052631578948,0.015624423574211633
5,-0.9368421052631579,-0.06631578947368422,0.03739862902308729
6,-0.9368421052631579,-0.04736842105263158,0.059604312539489314
7,-0.9368421052631579,-0.028421052631578948,0.07063062475751955
8,-0.9368421052631579,-0.009473684210526316,0.07554264155961014
9,-0.9368421052631579,0.009473684210526316,0.07554264155961014
10,-0.9368421052631579,0.028421052631578948,0.07063062475751955
11,-0.9368421052631579,0.04736842105263158,0.059604312539489314
12,-0.9368421052631579,0.06631578947368422,0.03739862902308729
13,-0.9236842105263158,-0.10421052631578948,0.02949550173895765
14,-0.9236842105263158,-0.08526315789473685,0.06678332369434663
15,-0.9236842105263158,-0.06631578947368422,0.08562729987760152
16,-0.9236842105263158,-0.04736842105263158,0.0973963608397527
17,-0.9236842105263158,-0.028421052631578948,0.10450867038269947
18,-0.9236842105263158,-0.009473684210526316,0.10788914553988241
19,-0.9236842105263158,0.009473684210526316,0.10788914553988241
20,-0.9236842105263158,0.028421052631578948,0.10450867038269947
21,-0.9236842105263158,0.04736842105263158,0.0973963608397527
22,-0.9236842105263158,0.06631578947368422,0.08562729987760152
23,-0.9236842105263158,0.08526315789473685,0.06678332369434663
24,-0.9236842105263158,0.10421052631578948,0.02949550173895765
25,-0.9105263157894737,-0.1231578947368421,0.06099731779585044
26,-0.9105263157894737,-0.10421052631578948,0.08960304693081148
27,-0.9105263157894737,-0.08526315789473685,0.10779023017006796
28,-0.9105263157894737,-0.06631578947368422,0.12037755555244112
29,-0.9105263157894737,-0.04736842105263158,0.12901462126937266
30,-0.9105263157894737,-0.028421052631578948,0.13446480424859167
31,-0.9105263157894737,-0.009473684210526316,0.13710867631837995
32,-0.9105263157894737,0.009473684210526316,0.13710867631837995
33,-0.9105263157894737,0.028421052631578948,0.13446480424859167
34,-0.9105263157894737,0.04736842105263158,0.12901462126937266
35,-0.9105263157894737,0.06631578947368422,0.12037755555244112
36,-0.9105263157894737,0.08526315789473685,0.10779023017006796
37,-0.9105263157894737,0.10421052631578948,0.08960304693081148
38,-0.9105263157894737,0.1231578947368421,0.06099731779585044
39,-0.8973684210526316,-0.16105263157894736,0.037058440448879335
40,-0.8973684210526316,-0.14210526315789473,0.08436452056304697
41,-0.8973684210526316,-0.1231578947368421,0.11019714656467385
42,-0.8973684210526316,-0.10421052631578948,0.12826318393051622
43,-0.8973684210526316,-0.08526315789473685,0.1415679061539884
44,-0.8973684210526316,-0.06631578947368422,0.15137203907422692
