ID,x0,y0,vx0,vy0,T,order,p,q,q_err,stable,rho
1,0.989834709351881,0.0,0.0,-0.09312972933475921,4.934688066848399,2,2,1,0.21462000154448801,false,9091.08582554221
2,0.9895469121818623,0.0,0.0,-0.09089357761496902,5.181072875443618,2,2,1,0.17540664135380835,false,950.0147911774177
3,0.9859517733875215,0.0,0.0,-0.06822588437665446,3.724018790096189,2,2,1,0.40730400138909206,false,63.77744609764048
4,0.9762538008021213,0.0,0.0,-0.0345257861943379,6.089456311404485,2,2,1,0.030832927297836377,false,2.9184630539113833e6
5,0.9761040381778069,0.0,0.0,-0.03424044462894602,36.29114957698174,2,2,6,0.22408415433601014,false,221791.37929333508
6,0.9743727852546457,0.0,0.0,-0.03148254141677495,33.014463526140325,2,2,5,0.2544150637123179,false,1532.4610191921975
7,0.9707942212300583,0.0,0.0,-0.029051803096287937,25.939551657921836,2,2,4,0.12840786794582915,false,259.19040367904387
8,0.9503189816017411,0.0,0.0,-0.06060646899647423,12.651606485739169,2,2,2,0.013565710258871544,false,12.71123347443704
9,0.9899599972570321,0.0,0.0,-0.09412862067758669,43.715036337165216,3,3,7,0.04253587949833282,false,126624.10059949526
10,0.9898724136367871,0.0,0.0,-0.09342867379411135,38.64664605203503,3,3,6,0.15080475310425712,false,7.779162662960844e6
11,0.9880300871379055,0.0,0.0,-0.08027837490778697,37.361921877880754,3,3,6,0.05366544972204945,false,5439.346534961529
12,0.984438456534047,0.0,0.0,-0.06081262227697945,6.600504276518326,3,3,1,0.05050288250708612,false,67502.6953800148
13,0.9801626432684051,0.0,0.0,-0.04445625811813104,60.514202771213526,3,3,10,0.3688655016960958,false,1309.9422129066747
14,0.9762130244537705,0.0,0.0,-0.03444737282513327,58.31294194471981,3,3,9,0.28079295673287774,false,2.3013159968184084e8
15,0.9761747370323302,0.0,0.0,-0.03437423743275034,61.86782432989136,3,3,10,0.1534299395567622,false,1.7984357418053215e6
16,0.9761029438822642,0.0,0.0,-0.034238386549487826,69.67825868149309,3,3,11,0.08963929519539526,false,3.648452567303279e7
17,0.9759632794876089,0.0,0.0,-0.0339789260172506,73.11735178654322,3,3,12,0.3630120373826209,false,16539.65381057928
18,0.9753184298757229,0.0,0.0,-0.03286435064904553,71.3621735984965,3,3,11,0.3576426779826658,false,2039.9267446232493
19,0.9744949878696972,0.0,0.0,-0.031643953587472906,66.50197282178115,3,3,11,0.41588230005065085,false,314195.556554665
20,0.9730621183638164,0.0,0.0,-0.030076761930306152,57.68352611098399,3,3,9,0.1806183155335166,false,1102.7526221276403
21,0.9709726600277653,0.0,0.0,-0.029069225723428495,53.80177187220209,3,3,9,0.437182059436541,false,540047.8803056892
22,0.970945229782705,0.0,0.0,-0.029065865908957815,54.080049634910395,3,3,9,0.39289277794896016,false,115815.49112335159
23,0.9708860957004356,0.0,0.0,-0.02905946656430471,53.4250169070144,3,3,9,0.4971444744805762,false,12165.579215167101
24,0.9675580583673054,0.0,0.0,-0.03039962005234458,44.48234192220913,3,3,7,0.07958459722342415,false,197.95606005851715
25,0.9633077873740415,0.0,0.0,-0.03571329969003266,19.151980042030615,3,3,3,0.04813229368649807,false,54.664479811294214
26,0.9580004061704286,0.0,0.0,-0.04514264112809814,31.58106165612609,3,3,5,0.026282070662385415,false,51.81466565526398
27,0.9880627161185395,0.0,0.0,-0.0804884333673784,71.10440919675509,4,4,11,0.316618199292396,false,4.720383625090042e6
28,0.9865245525815792,0.0,0.0,-0.0713084933402955,8.540477951148308,4,4,1,0.35925928229259574,false,384484.6017254682
29,0.9811171234132982,0.0,0.0,-0.04759011199995619,85.62719506234482,4,4,14,0.37200864273388845,false,442.37544393860856
30,0.9793233866104265,0.0,0.0,-0.0419300826839787,92.01179998133058,4,4,15,0.35586721018847456,false,57.88955009618026
31,0.9761932688104598,0.0,0.0,-0.03440957672105563,87.14146036472815,4,4,14,0.13100583470703775,false,1.0128073006073742e6
32,0.974193481487851,0.0,0.0,-0.031255012150261566,89.62095229621778,4,4,14,0.263617562546008,false,69007.61493987811
33,0.973722623847905,0.0,0.0,-0.030710484242069947,89.23104256577584,4,4,14,0.20156150158654462,false,265.1585000529848
34,0.9723291272676405,0.0,0.0,-0.02955187001100144,82.64597810883538,4,4,13,0.15351594268572377,false,355.9811914797262
35,0.9712583957117611,0.0,0.0,-0.029119073550891807,82.71639817059611,4,4,13,0.16472364360777902,false,21279.857685300274
36,0.9661895659852474,0.0,0.0,-0.031767044923322926,63.23957425631125,4,4,10,0.06489084191890626,false,175.49258447388786
37,0.9600363593519854,0.0,0.0,-0.04131236206863802,50.464390055599836,4,4,8,0.03165712746620031,false,85.86812095130685
38,0.9880322241371339,0.0,0.0,-0.0802921102430594,72.9836513634724,5,5,12,0.3842911206078199,false,5.385266567456912e6
39,0.9879367925850326,0.0,0.0,-0.07968174523170504,94.18624522306615,5,5,15,0.009793501483606804,false,1.808861250212782e6
40,0.9866020888486072,0.0,0.0,-0.07173869695857613,45.6344496861338,5,5,7,0.26294824282658613,false,544999.266030385
41,0.9865485068300148,0.0,0.0,-0.07144106268534697,47.30720984694112,5,5,8,0.47082370897373504,false,5.042462806618288e6
42,0.9862254238503863,0.0,0.0,-0.06967805803006194,41.04351799695564,5,5,7,0.46772122890334256,false,303015.42517421074
43,0.9851888404538268,0.0,0.0,-0.0643637309910842,64.091805283089,5,5,10,0.20052762248686662,false,55561.76920979188
44,0.9844078331462529,0.0,0.0,-0.06067259172087879,73.2270607606345,5,5,12,0.34555131185445376,false,1.4201125765663505e9
45,0.984379290678194,0.0,0.0,-0.06054241131257568,76.63884798384724,5,5,12,0.1974514894976256,false,557576.8029483953
46,0.9842635077507944,0.0,0.0,-0.06001762446682643,75.01827646134772,5,5,12,0.06047047894213087,false,80201.23509586332
47,0.9840950130576119,0.0,0.0,-0.05926325205865014,70.12769756421392,5,5,11,0.16116971499811328,false,1.1756234590598017e7
48,0.9837416923134374,0.0,0.0,-0.057716523020211935,61.275098061278,5,5,10,0.24776525510699265,false,23390.8251119298
49,0.9743778838904436,0.0,0.0,-0.031489173357831246,67.89454563088941,5,5,11,0.19424745386570486,false,1.5942812422309894e7
50,0.9653295477657501,0.0,0.0,-0.032812410112545744,82.04022891269334,5,5,13,0.05710796384577499,false,91.55094891811105
51,0.9638808863394634,0.0,0.0,-0.03483632032156135,82.09851117279791,5,5,13,0.06638387363598497,false,2898.2152794519843
52,0.9633859230929614,0.0,0.0,-0.03559148844928394,82.67666819662334,5,5,13,0.15840042186110104,false,210516.6358698657
53,0.9610740066621358,0.0,0.0,-0.03944626346467252,69.33407568483297,5,5,11,0.034860869948754925,false,86.42363003011164
54,0.9557663138517352,0.0,0.0,-0.04952416880834176,44.1120138278352,5,5,7,0.020645050438011125,false,55.3149515075035
55,0.9544869164647779,0.0,0.0,-0.0520893651519587,56.66178941794442,5,5,9,0.018003870297901514,false,55.9250809179942
56,0.9880104218223632,0.0,0.0,-0.0801521238588923,71.966484445451,6,6,11,0.45382173643952584,false,2.245501447397027e7
57,0.9866792822792971,0.0,0.0,-0.07217017318533873,76.26764095541904,6,6,12,0.1383720560128232,false,597726.1574009644
58,0.9865960145285332,0.0,0.0,-0.07170487921340296,85.17178009363143,6,6,14,0.4444901861626658,false,5.030364468042643e7
59,0.9865364240589722,0.0,0.0,-0.0713741555966796,79.4712042984803,6,6,13,0.3517650024309784,false,1.2513651404443586e8
60,0.9853367213097869,0.0,0.0,-0.06509175240529863,89.26013101211268,6,6,14,0.2061910716079165,false,18648.475217847168
61,0.9850539657424435,0.0,0.0,-0.06370803752552442,95.53279154041184,6,6,15,0.20451600102414602,false,2963.605591619965
62,0.9840296619923208,0.0,0.0,-0.05897360756503772,93.24589677891404,6,6,15,0.1594546045991887,false,2.480526533920044e6
63,0.9839187303144242,0.0,0.0,-0.058485662503499874,92.84211734338264,6,6,15,0.2237180976828661,false,7490.504670186228
64,0.9763127258050368,0.0,0.0,-0.03464005243571419,8.94513586836296,6,6,1,0.42366259007857887,false,256125.8987550139
65,0.9632303880079828,0.0,0.0,-0.035834632711386025,88.70102239612928,6,6,14,0.11720617164888836,false,99020.63599568562
66,0.9626898799492445,0.0,0.0,-0.036699706025914075,88.28705165378219,6,6,14,0.051320681708928007,false,672.6930289141446
67,0.9618787215221899,0.0,0.0,-0.038051066758458325,88.20689777237894,6,6,14,0.038563795275599944,false,10.573424374554186
68,0.9567718679539142,0.0,0.0,-0.04753399745572617,75.53683505087764,6,6,12,0.022060683864316033,false,41.66701120662852
69,0.9868450215949967,0.0,0.0,-0.0731074658470638,94.88843158874086,7,7,15,0.10196292958525532,false,2.326690876085729e7
70,0.9862120829818116,0.0,0.0,-0.06960640323137612,97.87243310488267,7,7,16,0.4231184789270639,false,1.012719946499705e8
71,0.9860342210835038,0.0,0.0,-0.06865954104633931,49.352020948213124,7,7,8,0.14538191451711313,false,3.3971807670231044e7
72,0.9858564137347042,0.0,0.0,-0.0677283987925128,67.80798444382805,7,7,11,0.20802409466642224,false,3.4619080560136368e6
73,0.9857380256870658,0.0,0.0,-0.06711678736941046,78.71419078498545,7,7,13,0.4722474450910479,false,4.632777595456961e6
74,0.9857158077011372,0.0,0.0,-0.06700273976238459,73.81701642212471,7,7,12,0.2516569521232377,false,6.636958044708599e8
75,0.9856678235700582,0.0,0.0,-0.06675721603995377,64.94877152951756,7,7,10,0.33691803666887843,false,1.2132503135915338e6
76,0.9591844868075654,0.0,0.0,-0.04289127063334928,81.85778648589933,7,7,13,0.02807134979182635,false,31.41448793365468
77,0.953615277150274,0.0,0.0,-0.05385369835182402,69.21862852953416,7,7,11,0.016486884517052047,false,50.451189114419016
78,0.9529310526397755,0.0,0.0,-0.05524625874275721,81.77952884809244,7,7,13,0.01561625990016502,false,36.22350111278827
